Pathways	Compounds_of_pathway	Enzymes_of_pathway	Genes_of_pathway	Ontology_parents_of_class	Reactions_of_pathway	Reactants_of_pathway	Products_of_pathway
PWY-1981	PPI // AMP // INDOLE_ACETATE_AUXIN // L-ASPARTATE // ATP // INDOLE-3-ACETYL-ASP // 2-OXINDOLE-3-ACETYL-ASP // PROTON // UDP // 3-O-BETA-GLUCOSYL-2-OXINDOLE-3-ACETYL- // 3-HYDROXY-2-OXINDOLE-3-ACETYL-ASP // CPD-12575			Indole-3-Acetate-Inactivation	RXN-3202 // RXN-3201 // RXN-3184 // RXN-2946	CPD-12575 // INDOLE_ACETATE_AUXIN // L-ASPARTATE // ATP	3-O-BETA-GLUCOSYL-2-OXINDOLE-3-ACETYL- // UDP // PROTON // AMP // PPI
PWY-2021	2-OXINDOLE-3-ACETYL-ASP // Donor-H2 // WATER // Acceptor // CPD-9592 // Non-Glucosylated-Glucose-Acceptors // Glucosylated-Glucose-Acceptors // 2-OXINDOLE-3-ACETIC-ACID // PPI // AMP // INDOLE-3-ACETYL-ASP // PROTON // INDOLE_ACETATE_AUXIN // L-ASPARTATE // ATP	AT5G13380-MONOMER // AT5G13370-MONOMER // MONOMERQT-7985 // MONOMERQT-7986 // AT2G47750-MONOMER // AT2G14960-MONOMER // AT1G28130-MONOMER // AT4G27260-MONOMER // AT1G59500-MONOMER // AT2G23170-MONOMER // AT4G37390-MONOMER // AT5G54510-MONOMER	AT5G13380 // AT5G13370 // AT5G13360 // AT5G13350 // AT2G47750 // AT2G14960 // AT1G28130 // AT4G27260 // AT1G59500 // AT2G23170 // AT4G37390 // AT5G54510	Indole-3-Acetate-Inactivation	RXN-2946 // RXN-9088 // RXN-3181 // RXN-3184	INDOLE_ACETATE_AUXIN // L-ASPARTATE // ATP // Glucosylated-Glucose-Acceptors // WATER // Acceptor	PROTON // AMP // PPI // Non-Glucosylated-Glucose-Acceptors // CPD-9592 // Donor-H2 // 2-OXINDOLE-3-ACETYL-ASP
PWY-1741	CPD-12575 // INDOLE_ACETATE_AUXIN // Glucopyranose // MYO-INOSITOL // CPD-1102 // 5-O-INDOL-3-YLACETYL-MYO-ETCETERA // CPD-14553 // INDOL-YLACETYL-MYO-INOSITOL-ARABINOSIDE // UDP // PROTON // CPD-12513 // CPD-165	ZM00001D033580-MONOMER // MONOMER-3961 // MONOMER-3981 // MONOMER-3982	ZM00001D033580 // G-3021	Indole-3-Acetate-Inactivation	2.4.2.34-RXN // 2.4.1.156-RXN // 2.3.1.72-RXN // 2.4.1.121-RXN	CPD-12513 // CPD-14553 // MYO-INOSITOL // CPD-12575 // INDOLE_ACETATE_AUXIN	PROTON // UDP // INDOL-YLACETYL-MYO-INOSITOL-ARABINOSIDE // 5-O-INDOL-3-YLACETYL-MYO-ETCETERA // Glucopyranose
PWY-5788	PHE // PPI // AMP // PROTON // INDOLE_ACETATE_AUXIN // VAL // ATP // CPD-9584 // CPD-9582 // CPD-9583 // CPD-9577	AT5G13380-MONOMER // AT5G13370-MONOMER // MONOMERQT-7985 // MONOMERQT-7986 // AT2G47750-MONOMER // AT1G28130-MONOMER // AT1G59500-MONOMER // AT4G37390-MONOMER // AT1G59500-MONOMER // AT2G14960-MONOMER // AT4G27260-MONOMER // AT2G23170-MONOMER // AT5G54510-MONOMER	AT5G13380 // AT5G13370 // AT5G13360 // AT5G13350 // AT2G47750 // AT1G28130 // AT1G59500 // AT4G37390 // AT1G59500 // AT2G14960 // AT4G27260 // AT2G23170 // AT5G54510	Indole-3-Acetate-Inactivation	RXN-9079 // RXN-9080 // RXN-9083 // RXN-9084	INDOLE_ACETATE_AUXIN // VAL // ATP // PHE	CPD-9583 // CPD-9584 // PROTON // AMP // PPI
PWY-5797	CPD-9603 // CPD-9602 // Non-Glucosylated-Glucose-Acceptors // Glucosylated-Glucose-Acceptors // PPI // AMP // PROTON // INDOLE_ACETATE_AUXIN // L-ASPARTATE // ATP // 2-OXINDOLE-3-ACETYL-ASP // INDOLE-3-ACETYL-ASP			Indole-3-Acetate-Inactivation	RXN-3184 // RXN-2946 // RXN-9097 // RXN-9102	INDOLE_ACETATE_AUXIN // L-ASPARTATE // ATP // Glucosylated-Glucose-Acceptors	PROTON // AMP // PPI // Non-Glucosylated-Glucose-Acceptors // CPD-9603
PWY-5811	Non-Glucosylated-Glucose-Acceptors // CPD-9642 // Glucosylated-Glucose-Acceptors // DIOXINDOLE-3-ACETATE // Donor-H2 // 2-OXINDOLE-3-ACETIC-ACID // WATER // Acceptor // PPI // AMP // PROTON // INDOLE_ACETATE_AUXIN // L-ASPARTATE // ATP // 2-OXINDOLE-3-ACETYL-ASP // INDOLE-3-ACETYL-ASP			Indole-3-Acetate-Inactivation	RXN-3184 // RXN-2946 // RXN-3181 // RXN-9130 // RXN-9131	INDOLE_ACETATE_AUXIN // L-ASPARTATE // ATP // WATER // Acceptor // Glucosylated-Glucose-Acceptors	2-OXINDOLE-3-ACETYL-ASP // PROTON // AMP // PPI // Donor-H2 // CPD-9642 // Non-Glucosylated-Glucose-Acceptors
PWY-5784	PPI // AMP // PROTON // ATP // INDOLE_ACETATE_AUXIN // L-ASPARTATE // GLT // CPD-9567 // WATER // CPD-9568 // INDOLE-3-ACETYL-ASP // CPD-9573 // Non-Glucosylated-Glucose-Acceptors // Glucosylated-Glucose-Acceptors // INDOLE-3-ACETYL-GLU	OS05G0500900-MONOMER // MONOMERN7F-11017 // OS07G0592600-MONOMER // OS07G0576500-MONOMER // OS01G0764800-MONOMER // MONOMERN7F-11480 // OS05G0143800-MONOMER // OS07G0576100-MONOMER // OS01G0785400-MONOMER // MONOMERN7F-12072	OS05G0500900 // OS11G0528700 // OS07G0592600 // OS07G0576500 // OS01G0764800 // OS06G0499500 // OS05G0143800 // OS07G0576100 // OS01G0785400 // OS07G0671500	Indole-3-Acetate-Inactivation	RXN-9075 // RXN-9074 // RXN-9078 // RXN-9077 // RXN-9076 // RXN-2947 // RXN-2946	Glucosylated-Glucose-Acceptors // WATER // INDOLE_ACETATE_AUXIN // ATP	Non-Glucosylated-Glucose-Acceptors // CPD-9567 // PROTON // AMP // PPI
PWY-6219	CPD-9577 // VAL // CPD-9582 // PHE // INDOLE-3-ACETYL-ASP // L-ASPARTATE // INDOLE-3-ACETYL-ALA // L-ALPHA-ALANINE // INDOLE-3-ACETYL-GLU // GLT // INDOLE-3-ACETYL-LEU // LEU // PPI // AMP // INDOLE-3-ACETYL-GLN // PROTON // INDOLE_ACETATE_AUXIN // GLN // ATP	AT1G59500-MONOMER // ZM00001D043350-MONOMER // ZM00001D029577-MONOMER // AT2G14960-MONOMER // AT2G23170-MONOMER // ZM00001D010697-MONOMER // MONOMERDQC-48557 // ZM00001D007395-MONOMER // ZM00001D043244-MONOMER // AT5G13380-MONOMER // AT5G13370-MONOMER // MONOMERQT-7985 // MONOMERQT-7986 // AT2G47750-MONOMER // AT1G28130-MONOMER // AT4G27260-MONOMER // AT1G59500-MONOMER // AT4G37390-MONOMER // AT5G54510-MONOMER	AT1G59500 // ZM00001D043350 // ZM00001D029577 // AT2G14960 // AT2G23170 // ZM00001D010697 // ZM00001D022473 // ZM00001D007395 // ZM00001D043244 // AT5G13380 // AT5G13370 // AT5G13360 // AT5G13350 // AT2G47750 // AT1G28130 // AT4G27260 // AT1G59500 // AT4G37390 // AT5G54510	Indole-3-Acetate-Inactivation	RXN-2948 // RXN-2945 // RXN-2947 // RXN-2944 // RXN-2946 // RXN-9084 // RXN-9083	INDOLE_ACETATE_AUXIN // GLN // ATP // LEU // GLT // L-ALPHA-ALANINE // L-ASPARTATE // PHE // VAL	PROTON // INDOLE-3-ACETYL-GLN // AMP // PPI // INDOLE-3-ACETYL-LEU // INDOLE-3-ACETYL-GLU // INDOLE-3-ACETYL-ALA // INDOLE-3-ACETYL-ASP // CPD-9582 // CPD-9577
PWY4LZ-283	NADP // NADPH // Pi // ADP // AMMONIUM // ATP // GLN // 2-KETOGLUTARATE // GLT // Oxidized-ferredoxins // Reduced-ferredoxins // AMMONIA // NADH // PROTON // WATER // NAD // NITRATE // NITRITE	MONOMERIO2-5709 // CRE12.G530600-MONOMER // CRE03.G146627-MONOMER // CRE03.G207250-MONOMER // CRE02.G113200-MONOMER // CRE16.G654526-MONOMER // CRE13.G592200-MONOMER // CRE12.G514050-MONOMER // CHLREDRAFT_135648-MONOMER // CHLREDRAFT_192094-MONOMER // CHLREDRAFT_137328-MONOMER // CRE09.G410950-MONOMER // CRE06.G303050-MONOMER // CPLX4LZ-7492 // CPLX4LZ-7520 // CHLREDRAFT_130019-MONOMER // CHLREDRAFT_194337-MONOMER // CHLREDRAFT_132235-MONOMER	CRE12.G530650 // CRE12.G530600 // CRE03.G146627 // CRE03.G207250 // CRE02.G113200 // CRE16.G654526 // CRE13.G592200 // CRE12.G514050 // CHLREDRAFT_135648 // CHLREDRAFT_192094 // CHLREDRAFT_137328 // CRE09.G410950 // CRE06.G303050 // CHLREDRAFT_192088 // CHLREDRAFT_184660 // CHLREDRAFT_130019 // CHLREDRAFT_194337 // CHLREDRAFT_132235	NITROGEN-DEG	TRANS-RXN4LZ-6867 // TRANS-RXN4LZ-6860 // NITRATE-REDUCTASE-NADH-RXN // TRANS-RXN4LZ-42 // TRANS-RXN4LZ-7 // RXN-1161 // TRANS-RXN4LZ-7042 // GLUTAMATE-SYNTHASE-FERREDOXIN-RXN // GLUTAMATE-SYNTHASE-NADH-RXN // GLUTAMINESYN-RXN	NADH // Reduced-ferredoxins // Reduced-ferredoxins // 2-KETOGLUTARATE // AMMONIUM // ATP	WATER // NAD // Oxidized-ferredoxins // Oxidized-ferredoxins // ADP // Pi
PWY-5695	IMP // XANTHOSINE-5-PHOSPHATE // RIBOSE-1P // XANTHOSINE // Pi // PROTON // NADH // URATE // WATER // NAD // XANTHINE	GLYMA.15G263100-MONOMER // GLYMA.08G164100-MONOMER // CPLX-1102 // MONOMERN7V-53824 // MONOMERN7V-53671 // GLYMA.17G041100-MONOMER // MONOMERN7V-53555 // GLYMA.20G195000-MONOMER // GLYMA.08G191700-MONOMER // GLYMA.10G195001-MONOMER // GLYMA.01G046200-MONOMER // GLYMA.01G238400-MONOMER // MONOMERN7V-50970 // GLYMA.15G025600-MONOMER // GLYMA.07G008700-MONOMER // MONOMERN7V-50195 // MONOMERN7V-49691 // GLYMA.13G119100-MONOMER // GLYMA.14G074800-MONOMER // MONOMERN7V-48440 // MONOMERN7V-48168 // MONOMERN7V-51138 // CPLX-1105	GLYMA.15G263100 // GLYMA.08G164100 // IMPDH // GLYMA.04G031800 // GLYMA.17G250700 // GLYMA.17G041100 // GLYMA.17G069800 // GLYMA.20G195000 // GLYMA.08G191700 // GLYMA.10G195001 // GLYMA.01G046200 // GLYMA.01G238400 // GLYMA.15G187000 // GLYMA.15G025600 // GLYMA.07G008700 // GLYMA.11G005100 // GLYMA.09G064600 // GLYMA.13G119100 // GLYMA.14G074800 // GLYMA.14G136600 // GLYMA.06G031900 // GLYMA.15G034000	Purine-Degradation	RXN0-901 // XANTHOSINEPHOSPHORY-RXN // XMPXAN-RXN // IMP-DEHYDROG-RXN	WATER // NAD // IMP	URATE // NADH // PROTON // RIBOSE-1P
PWY-6124	5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // CARBON-DIOXIDE // PROTON // ADP // Pi // ATP // PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE // L-ASPARTATE // FUM // P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE // THF-GLU-N // FORMYL-THF-GLU-N // AICAR // PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE // IMP // WATER	AT2G37690-MONOMER // AT2G05140-MONOMER // AT3G21110-MONOMER // AT4G18440-MONOMER // AT1G36280-MONOMER // AT2G35040-MONOMER	AT2G37690 // AT2G05140 // AT3G21110 // AT4G18440 // AT1G36280 // AT2G35040	IMP-Biosynthesis	IMPCYCLOHYDROLASE-RXN // AICARTRANSFORM-RXN // AICARSYN-RXN // SAICARSYN-RXN // AIRCARBOXY-RXN	FORMYL-THF-GLU-N // FORMYL-THF-GLU-N // L-ASPARTATE // ATP // ATP // L-ASPARTATE // CARBON-DIOXIDE // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // CARBON-DIOXIDE	WATER // IMP // IMP // WATER // THF-GLU-N // THF-GLU-N // FUM // FUM // Pi // ADP // PROTON // PROTON // ADP // Pi
PWY-5934	NADH // Fe3-siderophores // NAD // FE+2 // Siderophore // Fe2-siderophores // PROTON	MONOMERN7F-11250 // OS04G0578600-MONOMER // MONOMERQT-7725 // MONOMER-13991 // MONOMER-13992 // AT5G49740-MONOMER // AT5G50160-MONOMER // AT1G01580-MONOMER // AT5G23990-MONOMER // AT5G23980-MONOMER // AT1G23020-MONOMER // AT1G01590-MONOMER // OS03G0667500-MONOMER // MONOMER-14000 // AT4G19680-MONOMER // AT4G19690-MONOMER	OS04G0444800 // OS04G0578600 // AT5G49730 // G-10684 // G-10685 // AT5G49740 // AT5G50160 // AT1G01580 // AT5G23990 // AT5G23980 // AT1G23020 // AT1G01590 // OS03G0667500 // G-10691 // AT4G19680 // AT4G19690	Iron-Metabolism	RXN-14960 // TRANS-RXN-171 // FERRIC-CHELATE-REDUCTASE-RXN	Fe3-siderophores // NADH	Siderophore // NAD
PWY-2002	CPD-3361 // CPD-3041 // Ox-NADPH-Hemoprotein-Reductases // CPD-3061 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // WATER // 2-HYDROXYISOFLAVANONE // ADENOSYL-HOMO-CYS // CPD-3343 // PROTON // S-ADENOSYLMETHIONINE // DAIDZEIN	GLYMA.04G222400-MONOMER // GLYMA.17G226600-MONOMER // GLYMA.20G241500-MONOMER // MONOMERN7V-53084 // GLYMA.20G241700-MONOMER // GLYMA.10G292200-MONOMER // GLYMA.15G242900-MONOMER // GLYMA.13G262500-MONOMER // GLYMA.14G098100-MONOMER // MONOMERN7V-48270 // GLYMA.03G154600-MONOMER // GLYMA.19G156900-MONOMER // MONOMER-4386 // MONOMER-4745 // MONOMER-4761 // MONOMER-4762 // MONOMER-4363 // GLYMA.18G263700-MONOMER // GLYMA.09G281800-MONOMER // GLYMA.09G281900-MONOMER // GLYMA.11G150800-MONOMER // GLYMA.10G215700-MONOMER // GLYMA.20G176100-MONOMER // GLYMA.20G176950-MONOMER // MONOMERN7V-53222 // MONOMERN7V-53246 // MONOMER-4981 // GLYMA.13G173500-MONOMER // GLYMA.13G173401-MONOMER // GLYMA.07G202401-MONOMER // GLYMA.07G202300-MONOMER // MONOMER-4604 // MONOMER-7521 // MONOMER-4581 // GLYMA.11G004200-MONOMER // GLYMA.01G239500-MONOMER // GLYMA.01G239300-MONOMER // GLYMA.01G239600-MONOMER // GLYMA.01G239400-MONOMER // GLYMA.10G250300-MONOMER // GLYMA.10G250200-MONOMER // GLYMA.02G134100-MONOMER // GLYMA.20G143400-MONOMER // MONOMER-4681 // MONOMER-7462 // MONOMER-4964 // MONOMER-7441	GLYMA.04G222400 // GLYMA.17G226600 // GLYMA.20G241500 // GLYMA.20G241600 // GLYMA.20G241700 // GLYMA.10G292200 // GLYMA.15G242900 // GLYMA.13G262500 // GLYMA.14G098100 // GLYMA.06G143000 // GLYMA.03G154600 // GLYMA.19G156900 // G-3681 // G-3683 // G-3684 // GLYMA.18G263700 // GLYMA.09G281800 // GLYMA.09G281900 // GLYMA.11G150800 // GLYMA.10G215700 // GLYMA.20G176100 // GLYMA.20G176950 // GLYMA.20G003600 // GLYMA.20G003500 // G-3861 // GLYMA.13G173500 // GLYMA.13G173401 // GLYMA.07G202401 // GLYMA.07G202300 // G-3621 // G-5741 // G-3601 // GLYMA.11G004200 // GLYMA.01G239500 // GLYMA.01G239300 // GLYMA.01G239600 // GLYMA.01G239400 // GLYMA.10G250300 // GLYMA.10G250200 // GLYMA.02G134100 // GLYMA.20G143400 // G-5704 // G-5683 // G-5682	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN	RXN-3481 // RXN-3284 // RXN-3283 // RXN-3501 // RXN-3221	S-ADENOSYLMETHIONINE // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // CPD-3041	PROTON // CPD-3343 // ADENOSYL-HOMO-CYS // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-3361
PWY-2083	CPD-3521 // CPD-3141 // CPD-3622 // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // BIOCHANIN-A // CPD-5421 // CARBON-DIOXIDE // SUC // 2-KETOGLUTARATE // NARINGENIN-CMPD // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-3161 // CPD-431 // Red-NADPH-Hemoprotein-Reductases // PROTON // OXYGEN-MOLECULE	MONOMER-4581 // GLYMA.11G004200-MONOMER // GLYMA.01G239500-MONOMER // GLYMA.01G239300-MONOMER // GLYMA.01G239600-MONOMER // GLYMA.01G239400-MONOMER // GLYMA.10G250300-MONOMER // GLYMA.10G250200-MONOMER // GLYMA.02G134100-MONOMER // GLYMA.20G143400-MONOMER // MONOMER-4681 // MONOMER-7462 // MONOMER-5151 // GLYMA.13G173301-MONOMER // GLYMA.13G173300-MONOMER // GLYMA.13G173800-MONOMER // MONOMER-5153 // MONOMER-5323 // MONOMER-7523 // MONOMER-5149 // MONOMER-12564 // GLYMA.12G067100-MONOMER // GLYMA.12G067000-MONOMER // MONOMER-11863 // GLYMA.13G173500-MONOMER // GLYMA.13G173401-MONOMER // GLYMA.07G202401-MONOMER // GLYMA.07G202300-MONOMER	G-3601 // GLYMA.11G004200 // GLYMA.01G239500 // GLYMA.01G239300 // GLYMA.01G239600 // GLYMA.01G239400 // GLYMA.10G250300 // GLYMA.10G250200 // GLYMA.02G134100 // GLYMA.20G143400 // G-5704 // GLYMA.13G173301 // GLYMA.13G173300 // GLYMA.13G173800 // G-5703 // G-9647 // GLYMA.12G067100 // GLYMA.12G067000 // G-9216 // GLYMA.13G173500 // GLYMA.13G173401 // GLYMA.07G202401 // GLYMA.07G202300	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN	RXN-7750 // RXN-7650 // RXN-7686 // RXN-5502 // RXN-5501 // RXN-3761 // RXN-3645 // RXN-3642 // RXN-3303 // RXN-1541	Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // NARINGENIN-CMPD // 2-KETOGLUTARATE // S-ADENOSYLMETHIONINE	Ox-NADPH-Hemoprotein-Reductases // WATER // SUC // CARBON-DIOXIDE // ADENOSYL-HOMO-CYS // CPD-3622 // CPD-3521
PWY-5422	GERANYLGERANYL-PP // PPI // CPD-4750 // NADP // CPD-8699 // NADPH // CPD-8726 // CPD-8727 // PROTON // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-8729 // CPD-8728 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	MONOMER-12741 // MONOMER-12742 // MONOMER-12822 // MONOMER-12744 // MONOMER-12739	G-9769 // G-9770 // G-9831 // G-9771 // G-9768	Resin-Acids-Biosynthesis	RXN-8538 // RXN-8537 // RXN-8536 // RXN-8535 // RXN-8514 // RXN-4861	Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // NADPH // GERANYLGERANYL-PP	CPD-8729 // Ox-NADPH-Hemoprotein-Reductases // WATER // NADP // PPI
PWY-6270	CARBON-DIOXIDE // PYRUVATE // GAP // NADPH // DEOXYXYLULOSE-5P // NADP // CMP // Reduced-ferredoxins // Oxidized-ferredoxins // ADP // 2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET // ATP // 4-CYTIDINE-5-DIPHOSPHO-2-C // 2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE // CTP // DELTA3-ISOPENTENYL-PP // Reduced-flavodoxins // 2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE // HYDROXY-METHYL-BUTENYL-DIP // Oxidized-flavodoxins // WATER // PROTON // PPI // CPD-9436 // CPD-4211	MONOMER-14888	G-11347	ISOPRENOIDS // Super-Pathways	4.2.3.27-RXN // RXN-15878 // IPPISOM-RXN // 2.7.7.60-RXN // 2.7.1.148-RXN // ISPH2-RXN // RXN0-884 // RXN0-302 // DXPREDISOM-RXN // DXS-RXN	CPD-4211	CPD-9436 // PPI
PWY-7391	PROT-CYS // Protein-S-Acetyl-Cysteines // ACETOACETYL-COA // WATER // ACETYL-COA // 3-HYDROXY-3-METHYL-GLUTARYL-COA // NADPH // NADP // CO-A // PROTON // MEVALONATE // CPD-499 // ADP // CARBON-DIOXIDE // Pi // CPD-641 // ATP // DELTA3-ISOPENTENYL-PP // PPI // CPD-9436 // CPD-4211			ISOPRENOIDS	4.2.3.27-RXN // IPPISOM-RXN // DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN // PHOSPHOMEVALONATE-KINASE-RXN // MEVALONATE-KINASE-RXN // 1.1.1.34-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN	ATP // NADPH // WATER // ACETYL-COA	CPD-9436 // PPI // Pi // CARBON-DIOXIDE // ADP // NADP // CO-A
PWY-6024	UDP-D-XYLOSE // CPD-10348 // CPD-10347 // CPD-10345 // UDP-L-RHAMNOSE // CPD-12575 // PROTON // CPD-18157 // CPD-10349 // UDP-L-ARABINOSE // CPD-18158 // ISOVITEXIN // CPD-18169 // ISOVITEXIN-2-O-B-D-GLUCOSIDE // UDP // CPD-18170 // CPD-14553 // CPD-18156	MONOMER-14168 // MONOMER-14170 // MONOMER-14172 // MONOMER-14169		FLAVONE-SYN	RXN-16846 // RXN-16845 // RXN-16840 // RXN-16839 // RXN-16838 // ISOVITEXIN-BETA-GLUCOSYLTRANSFERASE-RXN // RXN-9717 // RXN-9716 // RXN-9715 // RXN-9714	CPD-14553 // ISOVITEXIN // UDP-L-ARABINOSE // CPD-12575 // UDP-L-RHAMNOSE // UDP-D-XYLOSE	CPD-18170 // UDP // CPD-18169 // CPD-18158 // CPD-18157 // PROTON // CPD-10345 // CPD-10348
PWY-735	CPD-734 // CPD-729 // NADPH // NADP // CPD-728 // CPD-725 // LINOLENIC_ACID // PPI // AMP // CPD-730 // ATP // CPD-11519 // CPD-11523 // NADH // NAD // CPD-11527 // CPD-11520 // CPD-11524 // CPD-11528 // ACETYL-COA // CPD-11518 // CPD-11517 // CPD-11526 // CPD-11525 // HYDROGEN-PEROXIDE // CPD-11522 // CPD-11521 // OXYGEN-MOLECULE // CO-A // CPD-731 // PROTON // CPD-11529 // WATER	ZM00001D029594-MONOMER // MONOMERDQC-50524 // AT1G13280-MONOMER // AT3G25760-MONOMER // AT3G25780-MONOMER // CPLX-7264 // MONOMERDQC-44521 // MONOMERDQC-47733 // ZM00001D050107-MONOMER // MONOMERDQC-50935 // ZM00001D037182-MONOMER // MONOMERDQC-55449 // ZM00001D011097-MONOMER // ZM00001D040842-MONOMER // AT1G09400-MONOMER // AT1G18020-MONOMER // AT1G17990-MONOMER // AT1G76690-MONOMER // AT2G06050-MONOMER // GDQC-106317-MONOMER // GDQC-114576-MONOMER // ZM00001D053586-MONOMER // ZM00001D034186-MONOMER // ZM00001D034184-MONOMER // ZM00001D028282-MONOMER // ZM00001D048021-MONOMER // ZM00001D013185-MONOMER // CPLX-1382 // GDQC-111976-MONOMER // MONOMERDQC-18 // MONOMERDQC-44498 // MONOMERDQC-45873 // MONOMERDQC-48322 // MONOMERDQC-50296 // MONOMERDQC-53348 // MONOMERDQC-55853 // MONOMER4FS-28 // MONOMER4FS-29 // AT1G67560-MONOMER // AT1G72520-MONOMER // AT1G17420-MONOMER // AT3G45140-MONOMER // GDQC-105481-MONOMER // GDQC-104907-MONOMER // ZM00001D051877-MONOMER // ZM00001D000118-MONOMER // ZM00001D027519-MONOMER // ZM00001D050295-MONOMER // ZM00001D012144-MONOMER // ZM00001D014821-MONOMER // MONOMERDQC-53552 // MONOMERDQC-53818 // ZM00001D015417-MONOMER // MONOMERDQC-60548 // AT1G20480-MONOMER // AT1G20490-MONOMER // AT1G20500-MONOMER // AT4G19010-MONOMER // AT5G38120-MONOMER // AT5G63380-MONOMER // AT1G20510-MONOMER // AT4G29010-MONOMER // AT2G33150-MONOMER // MONOMERDQC-47732 // MONOMERDQC-58213 // CPLX-7062 // AT2G35690-MONOMER	ZM00001D029594 // ZM00001D047340 // AT1G13280 // AT3G25760 // AT3G25780 // AT3G25770 // ZM00001D003584 // ZM00001D044906 // ZM00001D050107 // ZM00001D044908 // ZM00001D037182 // ZM00001D032049 // ZM00001D011097 // ZM00001D040842 // AT1G09400 // AT1G18020 // AT1G17990 // AT1G76690 // AT2G06050 // GDQC-106317 // GDQC-114576 // ZM00001D053586 // ZM00001D034186 // ZM00001D034184 // ZM00001D028282 // ZM00001D048021 // ZM00001D013185 // AT5G42650 // GDQC-111976 // GDQC-119610 // ZM00001D031449 // ZM00001D053675 // ZM00001D027893 // ZM00001D015852 // ZM00001D003533 // ZM00001D025524 // G4FS-17 // G4FS-18 // AT1G67560 // AT1G72520 // AT1G17420 // AT3G45140 // GDQC-105481 // GDQC-104907 // ZM00001D051877 // ZM00001D000118 // ZM00001D027519 // ZM00001D050295 // ZM00001D012144 // ZM00001D014821 // ZM00001D030132 // ZM00001D033055 // ZM00001D015417 // ZM00001D019957 // AT1G20480 // AT1G20490 // AT1G20500 // AT4G19010 // AT5G38120 // AT5G63380 // AT1G20510 // AT4G29010 // AT2G33150 // ZM00001D045251 // ZM00001D045606 // AT4G16760 // AT2G35690	FATTY-ACID-DERIVATIVE-SYN // Jasmonates-Biosynthesis	RXN-10708 // RXN-10706 // RXN-10707 // RXN-10696 // RXN-10701 // RXN-10700 // RXN-10699 // RXN-10703 // RXN-10702 // RXN-10698 // RXN-10705 // RXN-10704 // RXN-10697 // RXN-10695 // RXN-1321 // RXN1F-19 // 12-OXOPHYTODIENOATE-REDUCTASE-RXN // ALLENE-OXIDE-CYCLASE-RXN // RXN-745	OXYGEN-MOLECULE // NAD // ATP // LINOLENIC_ACID // NADPH	HYDROGEN-PEROXIDE // ACETYL-COA // NADH // AMP // PPI // NADP // CPD-734
PWY-6220	Jasmonoyl-ACCs // CPD-68 // Jasmonoyl-Leucines // LEU // Jasmonoyl-Valines // VAL // Jasmonoyl-Isoleucines // ILE // PROTON // PPI // AMP // Jasmonoyl-Phenylalanines // Jasmonic-Acids // PHE // ATP	MONOMERQT-8362 // AT2G46370-MONOMER	AT4G03400 // AT2G46370	Jasmonates-Biosynthesis	RXN-10456 // RXN-10455 // RXN-10457 // RXN-10459 // RXN-10439	Jasmonic-Acids // PHE // ATP // ILE // VAL // LEU // CPD-68	Jasmonoyl-Phenylalanines // AMP // PPI // PROTON // Jasmonoyl-Isoleucines // Jasmonoyl-Valines // Jasmonoyl-Leucines // Jasmonoyl-ACCs
PWY-6233	Jasmonoyl-Valines // VAL // Jasmonoyl-Leucines // LEU // Jasmonoyl-Glutamines // GLN // PROTON // PPI // AMP // Jasmonoyl-Isoleucines // Jasmonic-Acids // ILE // ATP	MONOMER-14776 // MONOMER-14777	G-11278 // G-11279	Jasmonates-Biosynthesis	RXN-10455 // RXN-10449 // RXN-10459 // RXN-10457	Jasmonic-Acids // ILE // ATP // GLN // LEU // VAL	Jasmonoyl-Isoleucines // AMP // PPI // PROTON // Jasmonoyl-Glutamines // Jasmonoyl-Leucines // Jasmonoyl-Valines
